promo_id,customer_id,customer_name,sku_id,category,week_start,planned_lift_pct,actual_lift_pct,feature_display,compliance_pct,funding_rate_pct
PROMO-0001,CUST01,Central Market Group,CAT01-SKU03,Functional Beverages,2025-10-06,35.4,11.1,Digital only,60.0,6.6
PROMO-0002,CUST01,Central Market Group,CAT02-SKU01,Better-for-You Snacks,2025-10-06,33.8,27.0,Feature,76.3,15.7
PROMO-0003,CUST01,Central Market Group,CAT03-SKU03,Plant-Based Meals,2025-10-06,28.7,29.2,Feature,58.8,17.9
PROMO-0004,CUST02,Sproutline Natural Markets,CAT01-SKU02,Functional Beverages,2025-10-06,31.0,30.7,Digital only,61.2,16.6
PROMO-0005,CUST02,Sproutline Natural Markets,CAT01-SKU05,Functional Beverages,2025-10-06,31.5,8.0,Display,77.3,7.6
PROMO-0006,CUST02,Sproutline Natural Markets,CAT05-SKU01,Organic Pantry Staples,2025-10-06,27.3,30.1,Display,89.5,7.8
PROMO-0007,CUST02,Sproutline Natural Markets,CAT05-SKU02,Organic Pantry Staples,2025-10-06,24.3,11.7,Feature and display,81.4,11.7
PROMO-0008,CUST02,Sproutline Natural Markets,CAT06-SKU02,Fresh Specialty Cheese,2025-10-06,25.8,29.9,Feature,65.6,16.0
PROMO-0009,CUST02,Sproutline Natural Markets,CAT06-SKU03,Fresh Specialty Cheese,2025-10-06,10.8,20.4,Feature and display,80.6,9.8
PROMO-0010,CUST03,Northstar Independent Co-op,CAT02-SKU02,Better-for-You Snacks,2025-10-06,24.9,23.6,Digital only,74.5,17.4
PROMO-0011,CUST03,Northstar Independent Co-op,CAT03-SKU02,Plant-Based Meals,2025-10-06,19.0,8.0,Display,88.8,13.5
PROMO-0012,CUST03,Northstar Independent Co-op,CAT03-SKU03,Plant-Based Meals,2025-10-06,21.2,32.0,Feature and display,78.0,15.8
PROMO-0013,CUST03,Northstar Independent Co-op,CAT04-SKU02,Natural Personal Care,2025-10-06,32.1,4.1,Feature,99,15.0
PROMO-0014,CUST03,Northstar Independent Co-op,CAT05-SKU04,Organic Pantry Staples,2025-10-06,12.1,30.7,Display,64.3,11.3
PROMO-0015,CUST03,Northstar Independent Co-op,CAT05-SKU06,Organic Pantry Staples,2025-10-06,28.9,20.1,Display,82.1,9.1
PROMO-0016,CUST04,Fresh Table Supermarkets,CAT01-SKU02,Functional Beverages,2025-10-06,14.7,12.7,Display,78.1,10.4
PROMO-0017,CUST04,Fresh Table Supermarkets,CAT03-SKU05,Plant-Based Meals,2025-10-06,22.7,13.0,Feature,76.8,8.4
PROMO-0018,CUST04,Fresh Table Supermarkets,CAT04-SKU05,Natural Personal Care,2025-10-06,11.2,31.6,Display,80.1,12.8
PROMO-0019,CUST04,Fresh Table Supermarkets,CAT06-SKU04,Fresh Specialty Cheese,2025-10-06,32.5,33.5,Display,89.0,16.4
PROMO-0020,CUST05,Urban Pantry Express,CAT02-SKU06,Better-for-You Snacks,2025-10-06,17.3,13.5,Feature,64.9,15.5
PROMO-0021,CUST05,Urban Pantry Express,CAT04-SKU04,Natural Personal Care,2025-10-06,32.0,29.5,Feature and display,83.3,17.3
PROMO-0022,CUST01,Central Market Group,CAT01-SKU01,Functional Beverages,2025-10-13,34.8,30.1,Digital only,70.5,12.6
PROMO-0023,CUST01,Central Market Group,CAT01-SKU06,Functional Beverages,2025-10-13,10.6,17.3,Display,88.2,11.6
PROMO-0024,CUST01,Central Market Group,CAT03-SKU01,Plant-Based Meals,2025-10-13,35.6,33.7,Display,99,12.2
PROMO-0025,CUST01,Central Market Group,CAT03-SKU05,Plant-Based Meals,2025-10-13,12.9,18.1,Display,56.7,16.3
PROMO-0026,CUST01,Central Market Group,CAT04-SKU03,Natural Personal Care,2025-10-13,19.4,11.3,Feature and display,67.6,14.3
PROMO-0027,CUST01,Central Market Group,CAT06-SKU01,Fresh Specialty Cheese,2025-10-13,11.4,23.8,Feature,68.1,13.0
PROMO-0028,CUST01,Central Market Group,CAT06-SKU05,Fresh Specialty Cheese,2025-10-13,23.3,7.6,Digital only,48.3,17.3
PROMO-0029,CUST02,Sproutline Natural Markets,CAT02-SKU03,Better-for-You Snacks,2025-10-13,16.0,10.8,Feature and display,55.2,8.7
PROMO-0030,CUST02,Sproutline Natural Markets,CAT04-SKU02,Natural Personal Care,2025-10-13,37.9,24.6,Feature,58.3,17.0
PROMO-0031,CUST02,Sproutline Natural Markets,CAT05-SKU02,Organic Pantry Staples,2025-10-13,26.0,6.5,Feature and display,71.0,13.3
PROMO-0032,CUST02,Sproutline Natural Markets,CAT05-SKU03,Organic Pantry Staples,2025-10-13,36.2,30.3,Display,47.4,11.2
PROMO-0033,CUST02,Sproutline Natural Markets,CAT05-SKU04,Organic Pantry Staples,2025-10-13,13.3,18.8,Digital only,81.7,9.8
PROMO-0034,CUST03,Northstar Independent Co-op,CAT01-SKU05,Functional Beverages,2025-10-13,28.3,21.6,Feature and display,85.2,11.4
PROMO-0035,CUST03,Northstar Independent Co-op,CAT04-SKU04,Natural Personal Care,2025-10-13,26.2,25.5,Display,78.7,7.4
PROMO-0036,CUST03,Northstar Independent Co-op,CAT05-SKU02,Organic Pantry Staples,2025-10-13,10.2,4.1,Digital only,61.2,7.7
PROMO-0037,CUST03,Northstar Independent Co-op,CAT05-SKU03,Organic Pantry Staples,2025-10-13,17.2,8.7,Feature,82.6,10.6
PROMO-0038,CUST03,Northstar Independent Co-op,CAT06-SKU04,Fresh Specialty Cheese,2025-10-13,34.7,25.3,Feature and display,88.1,13.8
PROMO-0039,CUST04,Fresh Table Supermarkets,CAT02-SKU03,Better-for-You Snacks,2025-10-13,22.8,21.1,Digital only,99,13.5
PROMO-0040,CUST04,Fresh Table Supermarkets,CAT03-SKU02,Plant-Based Meals,2025-10-13,30.5,25.3,Digital only,71.2,11.6
PROMO-0041,CUST04,Fresh Table Supermarkets,CAT04-SKU02,Natural Personal Care,2025-10-13,16.9,20.1,Digital only,75.9,15.9
PROMO-0042,CUST04,Fresh Table Supermarkets,CAT05-SKU01,Organic Pantry Staples,2025-10-13,24.6,25.2,Digital only,86.0,6.8
PROMO-0043,CUST05,Urban Pantry Express,CAT01-SKU02,Functional Beverages,2025-10-13,35.9,19.2,Display,66.3,11.1
PROMO-0044,CUST05,Urban Pantry Express,CAT01-SKU03,Functional Beverages,2025-10-13,36.9,18.7,Feature and display,74.7,9.9
PROMO-0045,CUST05,Urban Pantry Express,CAT02-SKU01,Better-for-You Snacks,2025-10-13,17.8,8.7,Feature and display,83.8,8.3
PROMO-0046,CUST05,Urban Pantry Express,CAT02-SKU04,Better-for-You Snacks,2025-10-13,29.1,28.2,Display,77.4,14.6
PROMO-0047,CUST05,Urban Pantry Express,CAT05-SKU04,Organic Pantry Staples,2025-10-13,16.6,19.3,Feature and display,89.3,9.1
PROMO-0048,CUST05,Urban Pantry Express,CAT06-SKU03,Fresh Specialty Cheese,2025-10-13,17.8,4.5,Feature and display,91.9,17.8
PROMO-0049,CUST05,Urban Pantry Express,CAT06-SKU06,Fresh Specialty Cheese,2025-10-13,37.1,28.7,Digital only,94.2,8.9
PROMO-0050,CUST01,Central Market Group,CAT01-SKU03,Functional Beverages,2025-10-20,23.0,13.7,Display,82.9,7.1
PROMO-0051,CUST01,Central Market Group,CAT02-SKU05,Better-for-You Snacks,2025-10-20,30.8,4.2,Feature,74.3,16.5
PROMO-0052,CUST01,Central Market Group,CAT03-SKU02,Plant-Based Meals,2025-10-20,16.2,12.7,Feature and display,83.2,16.7
PROMO-0053,CUST01,Central Market Group,CAT04-SKU02,Natural Personal Care,2025-10-20,14.6,8.6,Feature,84.3,13.5
PROMO-0054,CUST01,Central Market Group,CAT05-SKU02,Organic Pantry Staples,2025-10-20,31.3,27.8,Digital only,69.2,11.2
PROMO-0055,CUST01,Central Market Group,CAT05-SKU03,Organic Pantry Staples,2025-10-20,23.4,10.8,Feature,80.3,17.7
PROMO-0056,CUST01,Central Market Group,CAT05-SKU05,Organic Pantry Staples,2025-10-20,27.4,17.2,Feature and display,74.8,8.6
PROMO-0057,CUST01,Central Market Group,CAT06-SKU01,Fresh Specialty Cheese,2025-10-20,25.0,17.8,Digital only,63.3,11.0
PROMO-0058,CUST02,Sproutline Natural Markets,CAT02-SKU03,Better-for-You Snacks,2025-10-20,30.7,25.1,Feature and display,75.2,10.9
PROMO-0059,CUST02,Sproutline Natural Markets,CAT03-SKU02,Plant-Based Meals,2025-10-20,28.2,25.5,Display,84.9,12.8
PROMO-0060,CUST02,Sproutline Natural Markets,CAT03-SKU03,Plant-Based Meals,2025-10-20,13.6,32.4,Digital only,90.5,18.0
PROMO-0061,CUST02,Sproutline Natural Markets,CAT03-SKU05,Plant-Based Meals,2025-10-20,37.2,15.6,Digital only,66.0,15.7
PROMO-0062,CUST02,Sproutline Natural Markets,CAT06-SKU03,Fresh Specialty Cheese,2025-10-20,10.9,25.0,Feature,56.2,9.4
PROMO-0063,CUST03,Northstar Independent Co-op,CAT02-SKU06,Better-for-You Snacks,2025-10-20,19.4,9.3,Feature and display,76.3,11.7
PROMO-0064,CUST03,Northstar Independent Co-op,CAT03-SKU01,Plant-Based Meals,2025-10-20,21.1,31.9,Feature,72.7,16.1
PROMO-0065,CUST03,Northstar Independent Co-op,CAT03-SKU02,Plant-Based Meals,2025-10-20,19.6,24.4,Digital only,87.3,10.2
PROMO-0066,CUST03,Northstar Independent Co-op,CAT04-SKU01,Natural Personal Care,2025-10-20,13.6,4.7,Feature,73.2,12.8
PROMO-0067,CUST04,Fresh Table Supermarkets,CAT02-SKU03,Better-for-You Snacks,2025-10-20,33.0,21.5,Display,55.7,8.2
PROMO-0068,CUST04,Fresh Table Supermarkets,CAT03-SKU01,Plant-Based Meals,2025-10-20,11.3,7.4,Feature,89.1,11.2
PROMO-0069,CUST04,Fresh Table Supermarkets,CAT04-SKU06,Natural Personal Care,2025-10-20,27.1,19.4,Digital only,80.0,12.9
PROMO-0070,CUST05,Urban Pantry Express,CAT01-SKU01,Functional Beverages,2025-10-20,16.3,4.4,Display,91.8,13.3
PROMO-0071,CUST05,Urban Pantry Express,CAT02-SKU01,Better-for-You Snacks,2025-10-20,32.4,20.0,Display,50.4,10.5
PROMO-0072,CUST05,Urban Pantry Express,CAT02-SKU02,Better-for-You Snacks,2025-10-20,30.4,26.8,Feature and display,72.7,17.0
PROMO-0073,CUST05,Urban Pantry Express,CAT02-SKU04,Better-for-You Snacks,2025-10-20,35.9,4.8,Digital only,64.7,11.3
PROMO-0074,CUST05,Urban Pantry Express,CAT04-SKU02,Natural Personal Care,2025-10-20,11.1,23.0,Feature,85.6,13.0
PROMO-0075,CUST05,Urban Pantry Express,CAT06-SKU01,Fresh Specialty Cheese,2025-10-20,26.1,30.0,Feature and display,62.7,15.2
PROMO-0076,CUST01,Central Market Group,CAT02-SKU03,Better-for-You Snacks,2025-10-27,34.8,25.3,Digital only,65.0,7.4
PROMO-0077,CUST01,Central Market Group,CAT03-SKU02,Plant-Based Meals,2025-10-27,35.8,11.4,Feature and display,85.0,7.4
PROMO-0078,CUST01,Central Market Group,CAT05-SKU04,Organic Pantry Staples,2025-10-27,17.0,17.9,Digital only,91.6,11.3
PROMO-0079,CUST02,Sproutline Natural Markets,CAT04-SKU01,Natural Personal Care,2025-10-27,10.7,4.1,Display,75.2,14.4
PROMO-0080,CUST02,Sproutline Natural Markets,CAT04-SKU04,Natural Personal Care,2025-10-27,24.3,22.1,Feature,88.1,6.3
PROMO-0081,CUST02,Sproutline Natural Markets,CAT05-SKU01,Organic Pantry Staples,2025-10-27,24.0,7.3,Digital only,89.6,13.9
PROMO-0082,CUST02,Sproutline Natural Markets,CAT05-SKU04,Organic Pantry Staples,2025-10-27,20.3,24.0,Digital only,83.1,12.0
PROMO-0083,CUST02,Sproutline Natural Markets,CAT06-SKU02,Fresh Specialty Cheese,2025-10-27,31.9,8.3,Feature,56.0,18.0
PROMO-0084,CUST03,Northstar Independent Co-op,CAT03-SKU04,Plant-Based Meals,2025-10-27,26.8,26.2,Digital only,84.6,14.9
PROMO-0085,CUST03,Northstar Independent Co-op,CAT04-SKU01,Natural Personal Care,2025-10-27,30.6,27.3,Display,98.7,10.2
PROMO-0086,CUST04,Fresh Table Supermarkets,CAT02-SKU05,Better-for-You Snacks,2025-10-27,22.2,8.3,Digital only,78.9,6.4
PROMO-0087,CUST04,Fresh Table Supermarkets,CAT03-SKU06,Plant-Based Meals,2025-10-27,27.5,9.2,Display,82.0,9.0
PROMO-0088,CUST04,Fresh Table Supermarkets,CAT04-SKU03,Natural Personal Care,2025-10-27,30.3,13.2,Feature,89.3,7.8
PROMO-0089,CUST05,Urban Pantry Express,CAT04-SKU02,Natural Personal Care,2025-10-27,30.8,25.1,Feature,94.5,6.0
PROMO-0090,CUST05,Urban Pantry Express,CAT04-SKU03,Natural Personal Care,2025-10-27,14.3,7.9,Display,79.6,10.9
PROMO-0091,CUST01,Central Market Group,CAT01-SKU03,Functional Beverages,2025-11-03,30.7,27.1,Digital only,78.6,14.1
PROMO-0092,CUST01,Central Market Group,CAT03-SKU05,Plant-Based Meals,2025-11-03,27.4,22.5,Feature and display,82.3,10.4
PROMO-0093,CUST01,Central Market Group,CAT04-SKU01,Natural Personal Care,2025-11-03,16.6,10.4,Display,77.3,11.5
PROMO-0094,CUST01,Central Market Group,CAT04-SKU05,Natural Personal Care,2025-11-03,15.8,33.0,Digital only,62.2,6.9
PROMO-0095,CUST01,Central Market Group,CAT05-SKU06,Organic Pantry Staples,2025-11-03,33.4,9.6,Display,88.7,12.1
PROMO-0096,CUST02,Sproutline Natural Markets,CAT05-SKU03,Organic Pantry Staples,2025-11-03,20.0,18.2,Feature and display,82.0,10.1
PROMO-0097,CUST02,Sproutline Natural Markets,CAT05-SKU06,Organic Pantry Staples,2025-11-03,17.7,22.1,Feature and display,78.6,16.6
PROMO-0098,CUST02,Sproutline Natural Markets,CAT06-SKU01,Fresh Specialty Cheese,2025-11-03,36.7,11.0,Feature and display,74.6,16.0
PROMO-0099,CUST02,Sproutline Natural Markets,CAT06-SKU06,Fresh Specialty Cheese,2025-11-03,22.1,17.8,Display,80.1,16.3
PROMO-0100,CUST03,Northstar Independent Co-op,CAT01-SKU02,Functional Beverages,2025-11-03,15.6,14.5,Digital only,82.5,10.9
PROMO-0101,CUST03,Northstar Independent Co-op,CAT02-SKU03,Better-for-You Snacks,2025-11-03,26.3,27.0,Feature and display,77.7,17.9
PROMO-0102,CUST03,Northstar Independent Co-op,CAT02-SKU04,Better-for-You Snacks,2025-11-03,19.6,24.6,Digital only,79.0,13.9
PROMO-0103,CUST03,Northstar Independent Co-op,CAT02-SKU06,Better-for-You Snacks,2025-11-03,18.8,29.5,Feature and display,42,9.7
PROMO-0104,CUST03,Northstar Independent Co-op,CAT03-SKU03,Plant-Based Meals,2025-11-03,30.1,19.0,Display,76.0,13.8
PROMO-0105,CUST03,Northstar Independent Co-op,CAT04-SKU01,Natural Personal Care,2025-11-03,25.9,12.8,Digital only,85.3,13.0
PROMO-0106,CUST03,Northstar Independent Co-op,CAT04-SKU05,Natural Personal Care,2025-11-03,27.8,5.3,Digital only,82.6,9.1
PROMO-0107,CUST03,Northstar Independent Co-op,CAT05-SKU01,Organic Pantry Staples,2025-11-03,20.5,5.8,Feature and display,94.0,11.3
PROMO-0108,CUST03,Northstar Independent Co-op,CAT06-SKU04,Fresh Specialty Cheese,2025-11-03,11.0,8.1,Feature,86.8,14.5
PROMO-0109,CUST04,Fresh Table Supermarkets,CAT04-SKU02,Natural Personal Care,2025-11-03,22.9,26.3,Display,70.7,13.4
PROMO-0110,CUST04,Fresh Table Supermarkets,CAT04-SKU03,Natural Personal Care,2025-11-03,24.6,27.7,Feature and display,76.1,12.5
PROMO-0111,CUST04,Fresh Table Supermarkets,CAT05-SKU06,Organic Pantry Staples,2025-11-03,15.5,16.3,Feature,61.2,17.5
PROMO-0112,CUST05,Urban Pantry Express,CAT01-SKU02,Functional Beverages,2025-11-03,12.0,7.1,Digital only,99,13.0
PROMO-0113,CUST05,Urban Pantry Express,CAT01-SKU06,Functional Beverages,2025-11-03,14.7,7.0,Digital only,48.3,7.0
PROMO-0114,CUST05,Urban Pantry Express,CAT02-SKU04,Better-for-You Snacks,2025-11-03,21.5,12.8,Digital only,99,13.8
PROMO-0115,CUST05,Urban Pantry Express,CAT03-SKU01,Plant-Based Meals,2025-11-03,25.4,7.8,Digital only,90.5,9.5
PROMO-0116,CUST05,Urban Pantry Express,CAT04-SKU02,Natural Personal Care,2025-11-03,12.4,32.2,Display,58.5,13.9
PROMO-0117,CUST05,Urban Pantry Express,CAT04-SKU03,Natural Personal Care,2025-11-03,31.9,30.7,Digital only,75.6,10.3
PROMO-0118,CUST05,Urban Pantry Express,CAT06-SKU04,Fresh Specialty Cheese,2025-11-03,21.2,20.9,Digital only,86.1,13.3
PROMO-0119,CUST01,Central Market Group,CAT01-SKU02,Functional Beverages,2025-11-10,17.0,23.3,Feature,81.5,7.3
PROMO-0120,CUST01,Central Market Group,CAT02-SKU01,Better-for-You Snacks,2025-11-10,11.5,25.2,Digital only,77.4,8.3
PROMO-0121,CUST01,Central Market Group,CAT02-SKU03,Better-for-You Snacks,2025-11-10,18.6,24.9,Feature and display,68.7,11.2
PROMO-0122,CUST02,Sproutline Natural Markets,CAT01-SKU03,Functional Beverages,2025-11-10,16.4,28.6,Feature and display,72.3,10.2
PROMO-0123,CUST02,Sproutline Natural Markets,CAT02-SKU06,Better-for-You Snacks,2025-11-10,28.8,18.7,Digital only,72.8,9.6
PROMO-0124,CUST02,Sproutline Natural Markets,CAT03-SKU03,Plant-Based Meals,2025-11-10,20.8,21.8,Display,74.6,9.2
PROMO-0125,CUST02,Sproutline Natural Markets,CAT03-SKU05,Plant-Based Meals,2025-11-10,18.2,30.0,Display,54.3,15.4
PROMO-0126,CUST02,Sproutline Natural Markets,CAT03-SKU06,Plant-Based Meals,2025-11-10,23.9,27.9,Feature,74.2,15.1
PROMO-0127,CUST02,Sproutline Natural Markets,CAT04-SKU05,Natural Personal Care,2025-11-10,10.2,5.7,Digital only,87.3,8.4
PROMO-0128,CUST03,Northstar Independent Co-op,CAT01-SKU04,Functional Beverages,2025-11-10,33.5,24.4,Feature and display,58.9,12.9
PROMO-0129,CUST03,Northstar Independent Co-op,CAT02-SKU04,Better-for-You Snacks,2025-11-10,29.5,26.7,Feature,78.1,11.2
PROMO-0130,CUST03,Northstar Independent Co-op,CAT02-SKU05,Better-for-You Snacks,2025-11-10,24.5,28.1,Digital only,78.6,12.4
PROMO-0131,CUST03,Northstar Independent Co-op,CAT04-SKU06,Natural Personal Care,2025-11-10,21.1,30.0,Digital only,85.4,13.6
PROMO-0132,CUST04,Fresh Table Supermarkets,CAT01-SKU01,Functional Beverages,2025-11-10,12.6,25.4,Digital only,80.4,11.8
PROMO-0133,CUST04,Fresh Table Supermarkets,CAT01-SKU05,Functional Beverages,2025-11-10,21.0,23.5,Digital only,74.8,12.8
PROMO-0134,CUST04,Fresh Table Supermarkets,CAT03-SKU06,Plant-Based Meals,2025-11-10,36.8,25.0,Digital only,85.1,9.8
PROMO-0135,CUST04,Fresh Table Supermarkets,CAT05-SKU02,Organic Pantry Staples,2025-11-10,16.6,28.9,Feature and display,77.0,7.3
PROMO-0136,CUST04,Fresh Table Supermarkets,CAT05-SKU06,Organic Pantry Staples,2025-11-10,12.2,20.9,Feature and display,91.2,8.0
PROMO-0137,CUST04,Fresh Table Supermarkets,CAT06-SKU02,Fresh Specialty Cheese,2025-11-10,33.5,14.6,Display,71.2,15.8
PROMO-0138,CUST05,Urban Pantry Express,CAT01-SKU05,Functional Beverages,2025-11-10,37.1,32.6,Feature,78.6,15.1
PROMO-0139,CUST05,Urban Pantry Express,CAT03-SKU03,Plant-Based Meals,2025-11-10,27.3,20.8,Feature,65.9,17.0
PROMO-0140,CUST05,Urban Pantry Express,CAT05-SKU03,Organic Pantry Staples,2025-11-10,20.6,4.1,Display,83.9,15.7
PROMO-0141,CUST01,Central Market Group,CAT01-SKU06,Functional Beverages,2025-11-17,16.2,22.4,Feature and display,83.9,8.5
PROMO-0142,CUST01,Central Market Group,CAT04-SKU01,Natural Personal Care,2025-11-17,27.3,5.0,Digital only,58.5,14.5
PROMO-0143,CUST01,Central Market Group,CAT04-SKU03,Natural Personal Care,2025-11-17,29.3,28.1,Display,91.9,13.7
PROMO-0144,CUST02,Sproutline Natural Markets,CAT01-SKU01,Functional Beverages,2025-11-17,19.0,20.3,Feature,75.1,9.7
PROMO-0145,CUST02,Sproutline Natural Markets,CAT05-SKU06,Organic Pantry Staples,2025-11-17,15.8,7.2,Display,99,13.4
PROMO-0146,CUST02,Sproutline Natural Markets,CAT06-SKU01,Fresh Specialty Cheese,2025-11-17,15.6,23.3,Digital only,53.9,6.7
PROMO-0147,CUST02,Sproutline Natural Markets,CAT06-SKU02,Fresh Specialty Cheese,2025-11-17,33.1,24.6,Feature and display,78.7,16.0
PROMO-0148,CUST02,Sproutline Natural Markets,CAT06-SKU06,Fresh Specialty Cheese,2025-11-17,31.6,17.0,Digital only,99,14.7
PROMO-0149,CUST03,Northstar Independent Co-op,CAT04-SKU04,Natural Personal Care,2025-11-17,30.1,7.7,Feature and display,75.5,15.3
PROMO-0150,CUST03,Northstar Independent Co-op,CAT04-SKU06,Natural Personal Care,2025-11-17,35.3,5.2,Feature,78.0,10.4
PROMO-0151,CUST03,Northstar Independent Co-op,CAT05-SKU02,Organic Pantry Staples,2025-11-17,33.5,6.3,Feature and display,84.5,9.7
PROMO-0152,CUST04,Fresh Table Supermarkets,CAT01-SKU04,Functional Beverages,2025-11-17,15.2,7.7,Feature and display,67.7,6.2
